0xde86005,16metalgroan01
0x8bdc5a6c,16metalgroan04
0x27ce34e0,1playerhud
0x49ea8389,2playerhud
0xa0cc13ee,3playerhud
0xc1e2a4de,4520
0xc9e72ea4,4522
0x4bc88a4f,4playerhud
0xbf1cb025,_BF2_AudioTest
0x2ee886b2,_LOCALIZE_english_bootlegal
0x97af0ed7,_LOCALIZE_english_dolby_logo
0x3a10017a,_LOCALIZE_english_ig_victory_defeat
0x54e38e22,_LOCALIZE_french_bootlegal
0x83d06b87,_LOCALIZE_french_dolby_logo
0xea767ea,_LOCALIZE_french_IG_VICTORY_DEFEAT
0xa8993574,_LOCALIZE_german_bootlegal
0x6347bb55,_LOCALIZE_german_dolby_logo
0xa2fe3d14,_LOCALIZE_german_IG_VICTORY_DEFEAT
0x391afbd2,_LOCALIZE_italian_bootlegal
0x31431ff7,_LOCALIZE_italian_dolby_logo
0x3d72679a,_LOCALIZE_italian_IG_VICTORY_DEFEAT
0xde7ec282,_LOCALIZE_spanish_bootlegal
0x2cce12e7,_LOCALIZE_spanish_dolby_logo
0xf7d50cca,_LOCALIZE_spanish_IG_VICTORY_DEFEAT
0xf26167df,_LOCALIZE_uk_english_bootlegal
0x6f7b3568,_LOCALIZE_uk_english_dolby_logo
0x12dce577,_LOCALIZE_uk_english_ig_victory_defeat
0xf0b6e6d2,A-wing
0x8b8c5ce9,A-wing_bump
0xc646450a,a-wing_icon
0x49f1fc5c,A-wing_lowrez
0x241271d0,AABES001
0xe101097,AABES002
0xac0d37ba,AABES003
0x860abd51,AABES004
0x40334e6,AABES007
0x4fb33eff,AAEND001
0x45b56dd8,AAEND002
0xd52f678d,AAHOT001
0x5327df22,AAHOT002
0x1245a60f,AAKAS001
0x88489e68,AAKAS002
0x5cadf056,aalya_sabre_sprint_full
0x9d423e5f,aalya_sabre_stand_attack1a_end_full
0x63ef8c15,aalya_sabre_stand_attack1a_full
0x898c485e,aalya_sabre_stand_attack1b_end_full
0x71eed580,aalya_sabre_stand_attack1b_full
0x487c18bf,aalya_sabre_stand_attack1c_full
0x1eeddfa6,aalya_sabre_stand_attack_backwards
0xb8ce29ff,aalya_sabre_stand_block_idle_full
0x48a4d7b7,aalya_sabre_stand_block_left1_full
0x8521093e,aalya_sabre_stand_block_left2_full
0x8aba801c,aalya_sabre_stand_block_right1_full
0x4383f171,aalya_sabre_stand_block_right2_full
0xf0b63017,aalya_sabre_stand_dashattack_full
0xc8ebbf46,aalya_sabre_stand_idle_emote_full
0x4fff456d,aalya_sabre_stand_runforward_full
0xb212db3e,aat_engine_high_idle
0x995ebbbd,aat_engine_high_idle_acceleration
0x4ea254ae,aat_engine_high_idle_property
0xf8e41f56,aat_engine_high_idle_speed
0x65d8b197,aat_engine_layered
0xd3dda662,aat_engine_low_idle
0xd205db1,aat_engine_low_idle_acceleration
0x8fa0145a,aat_engine_low_idle_property
0xcc442dea,aat_engine_low_idle_speed
0x134bfaba,aat_engine_med_idle
0x8f3f72c9,aat_engine_med_idle_acceleration
0x699f0232,aat_engine_med_idle_property
0xd6d1f2,aat_engine_med_idle_speed
0x121ad64f,aat_icon
0xbe09593a,AAYAV001
0x2010af45,AAYAV002
0x3b6153fb,absp008
0xd6dfdd0d,absp011
0xa33d0537,absp012a
0x5801040,absp013a
0x3164469e,Accesshall
0x6fd48adc,ack_weap_l_smash
0xafc8b56e,ack_weap_r_smash
0xcfa862a6,acklay_sabre_fall_full
0x987655df,acklay_sabre_landhard_full
0x5765c402,acklay_sabre_landsoft_full
0x5e7efb88,acklay_sabre_stand_attack1a_full
0xd2add1d,acklay_sabre_stand_attack1b_full
0xed298bce,acklay_sabre_stand_attack1c_full
0xbe0833e0,acklay_sabre_stand_death_backward_full
0x113e5a78,acklay_sabre_stand_hitback
0xb2c8f056,acklay_sabre_stand_hitfront
0x2660920e,acklay_sabre_stand_hitleft
0x6a9598bd,acklay_sabre_stand_hitright
0x9bdece9f,acklay_sabre_stand_idle_emote_full
0x1b720ee6,acklay_sabre_stand_runbackward_full
0xb2c44ed0,acklay_sabre_stand_runforward_full
0x37c99194,acklay_sabre_stand_turnleft_full
0x800e9c31,acklay_sabre_stand_turnright_full
0x2107dcca,acklay_sabre_stand_walkbackward_full
0x83fa515c,acklay_sabre_stand_walkforward_full
0x9ff7e113,acklay_sabre_standalert_idle_emote_full
0x6c3a158a,acklay_sabre_standalert_runbackward_full
0x2a04101c,acklay_sabre_standalert_runforward_full
0xaac215e6,acklay_sabre_standalert_walkbackward_full
0xfe148bd0,acklay_sabre_standalert_walkforward_full
0x3c23ccc5,acklay_walk_backwards
0x46b78179,acklaychatter
0x103b0e04,acklaydie
0xaab6149,acklayhurt
0x4a638e23,acklaylz_rifle_stand_death_backward
0xeff4299a,acklaylz_rifle_stand_idle_emote
0xab8d76f,acklaylz_rifle_stand_runforward
0x2d8d2847,acklaystepleft
0xdab8aa46,acklaystepright
0x8d78c34b,Acquire_Bonus_EndurancePowerUp
0xf0de4dae,activate
0xb2ca1104,activate_invisibility
0x598e0d10,addme
0x517b7b0c,AI1COM001
0x6b796563,AI1COM002
0x4976f146,AI1COM003
0x53884a25,AI1COM004
0xe98564b0,AI1COM005
0xd3830377,AI1COM006
0xf180f41a,AI1COM007
0x4b6a2879,AI1COM008
0x716825b4,AI1COM009
0xfce69596,AI1COM010
0x5ee96e73,AI1COM011
0x84ebe8dc,AI1COM012
0x7eee1e01,AI1COM013
0xe4f0fd2a,AI1COM014
0x6f37147,AI1COM015
0xdcf56dc0,AI1COM016
0x6f7ee75,AI1COM017
0xdcd2db7e,AI1COM018
0xfed54f9b,AI1COM019
0xc59ac25b,AI1COM020
0xa3984e3e,AI1COM021
0x45a00909,AI1COM022
0x2b9da184,AI1COM023
0x4da492cf,AI1COM024
0x2ba21eb2,AI1COM025
0xada9a71d,AI1COM026
0xc3a78b28,AI1COM027
